"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.074079167E-2,-1.192420349E0,5.290448456E0,8.357570343E0
1.419077917E-1,-1.239422607E0,4.464765472E0,8.663085022E0
2.430897917E-1,-9.586065674E-1,4.445455627E0,8.386310577E0
3.442517917E-1,-9.283694458E-1,4.311035156E0,8.740923157E0
4.454057917E-1,-6.283932495E-1,4.367916870E0,8.778345337E0
5.465637917E-1,-7.065307617E-1,4.143982544E0,8.868308258E0
6.476917917E-1,-4.414320374E-1,4.339326324E0,8.686286774E0
7.488577917E-1,-1.274599457E0,4.368815002E0,9.060508575E0
8.500247917E-1,-6.137237549E-3,4.454586639E0,8.942404175E0
9.511567917E-1,-5.745053101E-1,4.783752136E0,8.322094116E0
1.052321792E0,-9.469308472E-1,4.509372711E0,8.820108490E0
1.153484792E0,-9.527687073E-1,4.542902985E0,8.858877869E0
1.254630792E0,-1.110390930E0,4.377197571E0,8.831035767E0
1.355778792E0,-2.204615479E0,4.226011963E0,9.180858307E0
1.456924792E0,-2.043101349E0,4.424199829E0,6.278543701E0
1.558092792E0,-6.788383484E-1,2.018253021E0,9.994566193E0
1.659252792E0,-2.057172089E0,1.055604858E0,8.346343689E0
1.760408792E0,-2.364183655E0,3.078797607E0,7.845036163E0
1.861580792E0,2.589465179E0,2.668949890E0,6.337221680E0
1.962751792E0,-2.043101349E0,3.727249146E0,1.177960419E1
2.063815250E0,1.048569489E0,2.865191803E0,7.663463745E0
2.164970250E0,1.352886658E0,1.865121460E0,8.323740692E0
2.266138250E0,6.523434448E-1,1.975442047E0,9.682465210E0
2.367298250E0,3.899391174E-1,1.670825500E0,1.033974838E1
2.468456250E0,5.078938293E-1,1.778451691E0,9.170080719E0
2.569603250E0,-5.673202515E-2,1.003662872E0,9.947863312E0
2.670774250E0,-5.583389282E-2,1.642684021E0,8.540489960E0
2.771948250E0,4.224215698E-1,1.562001801E0,8.909472656E0
2.873119250E0,1.782792664E-1,1.163680115E0,9.536219330E0
2.974266250E0,-2.936892700E-1,-6.271957397E-2,8.807085571E0
3.075431250E0,-4.333488464E-1,-1.038540344E0,1.052910461E1
3.176592250E0,-1.185534668E0,-2.033371582E0,1.225800934E1
3.277713250E0,-1.337468719E0,-2.313588867E0,1.110001740E1
3.378864250E0,-1.200204163E0,-2.135758667E0,1.013976425E1
3.480044250E0,-1.108444977E0,-1.811532898E0,1.026849655E1
3.581194250E0,-1.301244049E0,-8.434959412E-1,1.053194870E1
3.682339250E0,-9.695338440E-1,-5.089416504E-1,1.023302032E1
3.783470250E0,-1.288670197E0,5.610333252E-1,8.318501587E0
3.884641250E0,-1.384620667E-1,4.252656555E-1,9.155560913E0
3.985782250E0,-8.681945801E-2,-1.960922241E-2,1.001627106E1
4.086935250E0,-3.529660034E-1,5.358856201E-1,1.009455826E1
4.188087250E0,-3.882925415E-1,9.939331055E-1,9.149723053E0
4.289256250E0,-7.080276489E-2,1.172062683E0,1.021745270E1
4.390423250E0,-5.486091614E-1,1.465901642E0,1.081800385E1
4.491572250E0,-4.965174866E-1,8.090675354E-1,1.009515701E1
4.592731250E0,2.903961182E-1,1.312321014E0,8.042625275E0
4.693902250E0,9.361532593E-1,1.586999817E0,8.629255371E0
4.795067250E0,1.316362610E0,1.619332581E0,9.623188477E0
4.896246250E0,-6.361770630E-2,2.122136993E0,1.026640091E1
4.997409250E0,2.266287231E-1,2.013912048E0,8.916208649E0
5.098564250E0,3.213816833E-1,2.608775024E0,1.013362701E1
5.199758250E0,5.779481506E-1,1.735790405E0,9.124575348E0
5.300907250E0,1.252445526E0,1.715582428E0,8.852740631E0
5.402076250E0,8.014334106E-1,2.278861084E0,1.011880783E1
5.503248250E0,8.828640747E-1,1.846260681E0,9.652377777E0
5.604393250E0,9.945318604E-1,1.760039978E0,9.512568512E0
5.705579250E0,6.773414612E-1,1.741029510E0,9.735754395E0
5.806730250E0,2.871029663E-1,1.501826935E0,9.933942261E0
5.907879250E0,4.716691589E-1,2.330503693E0,8.815318451E0
6.009038250E0,5.866300964E-1,1.822759552E0,9.413324890E0
6.110201250E0,-6.511459351E-2,1.288520508E0,1.157258469E1
6.211363250E0,1.058299255E-1,2.099084930E0,9.170529785E0
6.312527250E0,-3.143463135E-2,1.903441772E0,9.703721008E0
6.413669250E0,-7.559280396E-1,2.487676849E0,9.399403839E0
6.514824250E0,-1.359323273E0,2.611918488E0,9.116043091E0
6.615984250E0,-3.444337463E-1,2.391427002E0,8.017477570E0
6.717145250E0,-5.499563599E-1,2.108365631E0,1.072744217E1
6.818309250E0,-6.553372192E-1,3.334765320E0,8.351283417E0
6.919456250E0,6.924600220E-1,2.952610016E0,1.006491989E1
7.020466125E0,-1.122665405E-2,9.753717041E-1,1.066771637E1
7.121637125E0,-1.283281403E0,2.586920471E0,8.997190247E0
7.222795125E0,-6.120771790E-1,3.432811432E0,8.870254211E0
7.323961125E0,-1.094224548E-1,2.701282654E0,9.198671265E0
7.425134125E0,-3.772155762E-1,3.184926910E0,8.433312836E0
7.526298125E0,-5.114863586E-1,1.779948578E0,1.055515045E1
7.627468125E0,7.469467163E-2,2.787653046E0,9.001531219E0
7.728624125E0,-2.806663513E-1,2.562072144E0,1.001118164E1
7.829804125E0,-6.307882690E-1,2.446362762E0,8.929830322E0
7.930963125E0,-1.287921753E0,2.599793701E0,9.297166443E0
8.032116125E0,-1.523681488E0,4.630919952E0,8.869954834E0
8.133287125E0,-1.905537415E0,5.196893005E0,8.767418060E0
8.234467125E0,-1.368304596E0,5.161716156E0,8.780590668E0
8.335644125E0,-1.537452850E0,3.651506653E0,9.586963806E0
8.436820125E0,-1.751956787E0,2.675386505E0,8.810079346E0
8.537959125E0,-9.160949707E-1,1.497186584E0,9.080267487E0
8.639139125E0,-1.243015137E0,1.363963623E0,9.563911743E0
8.740303125E0,-2.570604401E0,1.007255402E0,9.643246765E0
8.841448125E0,-2.405048676E0,5.441184998E-1,8.986113281E0
8.942621125E0,-2.556833038E0,5.617817688E-1,9.493558044E0
9.043801125E0,-3.033741302E0,3.835025024E-1,9.831704865E0
9.144972125E0,-2.796185303E0,7.887098694E-1,9.083111572E0
9.246140125E0,-2.580184479E0,1.497935028E0,9.465566254E0
9.347301125E0,-3.599564667E0,3.686533813E0,9.661359100E0
9.448478125E0,-3.823798370E0,4.871170349E0,9.287286987E0
9.549635125E0,-2.038460999E0,3.096760254E0,1.009800110E1
9.650774125E0,-4.041595459E-3,1.246907043E0,8.378377075E0
9.751925125E0,8.575666809E-1,-1.555565186E0,8.558302917E0
9.853071125E0,4.463717651E-1,-1.812730408E0,9.435029755E0
9.954215125E0,-4.845423889E-1,-9.669891357E-2,1.019724472E1
1.005538113E1,-1.052311707E0,1.794618073E0,1.015293686E1
