"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.061675000E-2,-1.541195068E0,3.082839203E0,8.928632812E0
1.418117500E-1,-1.219813385E0,2.859653320E0,9.478738861E0
2.430177500E-1,-8.304730225E-1,2.957400055E0,9.227261810E0
3.441867500E-1,5.448669434E-2,3.194806366E0,9.472302246E0
4.453927500E-1,-2.830613708E-1,3.981270905E0,9.968969421E0
5.465937500E-1,-3.817062378E-1,3.939058685E0,8.621022491E0
6.477777500E-1,-8.545729065E-1,3.124452667E0,8.816066895E0
7.489447500E-1,-1.227297821E0,2.657423859E0,1.011940659E1
8.501307500E-1,-8.074209595E-1,2.748434601E0,9.369915161E0
9.512897500E-1,-7.637118530E-1,2.255809021E0,9.205407257E0
1.052502750E0,-1.481918335E-2,1.254690857E0,9.548643494E0
1.153682750E0,-2.110610962E-1,1.619781647E0,9.254355469E0
1.254859750E0,2.146536255E-1,2.121238861E0,9.282496948E0
1.355913125E0,4.047583008E-1,1.788630524E0,9.749226379E0
1.457093125E0,-2.918930054E-2,2.805166626E0,9.507329407E0
1.558262125E0,-2.761756897E-1,3.033591614E0,9.332492981E0
1.659416125E0,-9.684860229E-2,2.795436859E0,9.512718201E0
1.760553125E0,-9.295669556E-2,2.896776123E0,9.544452209E0
1.861736125E0,-2.043251038E-1,3.002905426E0,9.251361694E0
1.962908125E0,-2.758763123E-1,2.938688965E0,9.095236359E0
2.064076125E0,-1.642085266E-1,2.952909393E0,9.322613525E0
2.165274125E0,-2.252815247E-1,3.116968231E0,9.296567688E0
2.266441125E0,-4.068539429E-1,3.233426056E0,9.357191620E0
2.367603125E0,-3.671864319E-1,3.290307770E0,9.279952240E0
2.468779125E0,-3.715274048E-1,3.385360107E0,8.968599701E0
2.569925125E0,-3.019221497E-1,3.187770996E0,9.091793518E0
2.671112125E0,-2.782713318E-1,3.218457184E0,9.340127106E0
2.772267125E0,-4.456233215E-1,3.198249207E0,9.309141541E0
2.873450125E0,-3.727249146E-1,3.137325897E0,9.026678925E0
2.974612125E0,-3.682342529E-1,2.679877167E0,9.495803375E0
3.075781125E0,-4.755610657E-1,3.010988617E0,9.340426483E0
3.176930125E0,-4.607418823E-1,2.486479340E0,9.675729218E0
3.278117125E0,6.062393188E-2,2.482437744E0,9.129964142E0
3.379296125E0,-2.945874023E-1,2.938389587E0,9.523944855E0
3.480479125E0,-1.964215393E0,2.540067902E0,1.013317795E1
3.581623125E0,-3.616180115E0,1.516795807E0,8.934021606E0
3.682793125E0,-2.702929230E0,1.028660889E0,8.043972473E0
3.783966125E0,-5.533393250E0,-1.089733887E-1,6.387367401E0
3.885157125E0,-4.944517822E0,2.444416809E-1,1.372136627E1
3.986305125E0,-3.391946411E-1,2.085163879E-1,1.049153275E1
4.087501125E0,-6.798861694E-1,2.011217651E0,8.403973846E0
4.188677125E0,-1.250050507E0,1.981579285E0,7.369924164E0
4.289813125E0,6.837780762E-1,1.144669647E0,8.728798370E0
4.390988125E0,9.568103027E-1,8.675958252E-1,9.029822388E0
4.492153125E0,1.906435547E0,9.601034546E-1,9.347162476E0
4.593345125E0,2.782713318E0,1.045875092E0,9.056916046E0
4.694522125E0,2.793939972E0,6.048921204E-1,9.254954224E0
4.795691125E0,2.463427277E0,7.075785828E-1,9.458680573E0
4.896868125E0,2.620899811E0,-2.896476746E-1,9.793384552E0
4.998032125E0,1.996697845E0,-3.138972473E-1,9.342821503E0
5.099200125E0,2.240989838E0,-1.844165039E-1,9.228159943E0
5.200366125E0,1.898951111E0,-3.763174438E-1,9.636959839E0
5.301517125E0,1.444945221E0,-3.212319946E-1,9.555828552E0
5.402681125E0,1.906435547E0,-1.604363708E0,9.670939178E0
5.503838125E0,1.508712616E0,-1.351838837E0,9.468260651E0
5.604993125E0,1.282383270E0,-1.414109344E0,9.444759521E0
5.706161125E0,1.278641052E0,-1.412462769E0,9.619595947E0
5.807320125E0,1.067280579E0,-1.728904724E0,9.463470612E0
5.908485125E0,1.002615051E0,-1.594633942E0,9.606722717E0
6.009654125E0,9.210346985E-1,-1.183888092E0,9.578431549E0
