"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.669367917E-1,-2.302922457E-1,1.071127653E-1,-3.886640072E-3
2.619237917E-1,-8.381811529E-2,-1.099648625E-1,-1.977337897E-2
3.569117917E-1,-3.042398393E-2,-4.336504042E-1,6.400316209E-2
4.519017917E-1,-5.331345275E-2,-3.211815059E-1,-6.238020957E-2
5.468897917E-1,-2.713876665E-1,-2.838308811E-1,-8.150836825E-2
6.418777917E-1,-6.872632541E-3,-2.162372619E-1,-2.412596494E-1
7.368657917E-1,-2.521444261E-1,2.056301683E-1,-6.382659674E-1
8.318547917E-1,-1.196742430E-2,-2.127689868E-1,-1.592666209E-1
9.268427917E-1,7.017777860E-2,-7.583060116E-2,-1.313352734E-1
1.021831792E0,9.955843538E-2,1.610247046E-2,-1.133275405E-1
1.116819792E0,-1.149989441E-1,-1.036754474E-1,-8.538553119E-2
1.211788792E0,-2.270902880E-2,-1.040251032E-1,3.603439778E-2
1.306787792E0,2.408897132E-2,-6.702447683E-2,1.673425883E-1
1.401786792E0,2.908339798E-1,-4.828621447E-1,2.119683027E-1
1.496764792E0,2.313225567E-1,-2.382546216E-1,9.860105813E-2
1.591731792E0,3.713000938E-2,-1.079664454E-1,-1.678150594E-1
1.681750792E0,8.547048271E-2,5.117306858E-2,-1.551864445E-1
1.776741792E0,-1.534757465E-1,1.649920791E-1,-2.505027354E-1
1.871728792E0,3.727510571E-1,1.601550579E-1,-3.787626624E-1
1.966701792E0,2.157194018E-1,1.077652425E-1,-2.596434057E-1
2.061697792E0,8.560912311E-2,-4.697632045E-2,-1.515738517E-1
2.156694792E0,-2.767878771E-1,9.694422781E-2,-9.591345489E-2
2.251683792E0,-1.417086124E-1,-1.738927886E-2,-2.712004632E-2
2.346644792E0,2.669967897E-2,1.273988932E-1,3.695634427E-3
2.441661792E0,1.335608773E-3,-1.114217378E-2,3.909324482E-2
2.536648792E0,-1.440851390E-1,-3.528029099E-2,9.048939683E-3
2.631623792E0,-1.430727005E0,1.207851991E-1,-2.325873375E-1
2.721628792E0,-1.766086072E-1,1.693808734E-1,5.791284610E-3
2.816616792E0,-2.387329042E-1,8.680054545E-2,-4.559749365E-2
2.911605792E0,1.974603385E-1,-2.872169018E-2,-1.868718490E-2
3.006477625E0,3.174565136E-1,-8.991573751E-2,3.168384358E-2
3.101465625E0,1.554768626E-2,2.699647099E-2,-4.512585700E-2
3.196436625E0,7.993409410E-3,-1.342275925E-2,-8.805241436E-3
3.286437625E0,-2.796445601E-2,-9.139534086E-2,8.256461471E-3
3.376437625E0,4.595408589E-2,2.309186570E-2,3.301930428E-2
3.471421625E0,-6.846124772E-3,-6.035117805E-2,1.471887436E-2
3.566410625E0,-1.181199029E-2,3.691435978E-2,7.289144397E-2
3.661377625E0,-2.244754434E-1,-2.763135824E-3,2.340903133E-1
3.756374625E0,-8.160070330E-2,-4.117748141E-1,5.012503266E-1
3.851376625E0,-2.446918935E-1,-2.035122365E-2,3.895155191E-1
3.946349625E0,6.330916286E-2,-2.142240256E-1,6.733160615E-1
4.041324625E0,2.592407539E-2,-1.664728373E-1,3.819321692E-1
4.136341625E0,6.265625358E-1,8.777927607E-2,1.595971435E-1
4.231331625E0,-1.215104610E-1,-2.960419357E-1,6.740721464E-1
4.326320625E0,2.477050759E-2,-3.406193852E-1,3.251286745E-1
4.421300625E0,1.121237874E-1,-1.848704219E-1,2.411499768E-1
