"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.667087500E-1,-1.172753125E-1,-8.908239007E-2,-9.579674155E-2
2.616877500E-1,-3.268907964E-2,-3.233380616E-1,-8.979290724E-2
3.566557500E-1,1.798512340E-1,-2.855086625E-1,-6.824176311E-1
4.516457500E-1,6.823838949E-1,8.424331993E-2,-4.746722877E-1
5.466037500E-1,3.020240963E-1,-2.888547182E-1,-1.104215741E0
6.415977500E-1,-6.826013327E-1,-1.171567082E0,-1.345296383E0
7.365617500E-1,-6.811878085E-2,-7.407203317E-1,-9.087680578E-1
8.265657500E-1,2.396799065E-2,6.297679991E-2,-6.053549647E-1
9.215477500E-1,-4.101049900E-1,-2.671211362E-1,-3.172682524E-1
1.016527750E0,-3.651394844E-1,-6.245352626E-1,1.586065590E-1
1.111505750E0,-3.834957257E-2,-1.692554355E-2,1.007981785E-2
1.206481750E0,-7.565548271E-2,-8.338592201E-2,-1.719545457E-3
1.301337125E0,2.115916312E-1,-3.657123819E-2,4.031932727E-2
1.396315125E0,5.503914356E-1,1.284127235E-1,1.706680655E-1
1.491296125E0,6.736333668E-2,1.522474922E-2,1.005969271E-1
1.586277125E0,-7.990726084E-2,-2.188673429E-2,4.612253234E-2
1.681252125E0,1.709704101E-1,5.569037795E-2,2.793934941E-2
1.776235125E0,6.778673083E-2,4.663850740E-2,3.237837926E-2
1.871217125E0,1.787038706E-2,1.640844741E-3,4.489195719E-2
1.966179125E0,1.180170476E-1,4.558620602E-2,9.042947204E-4
2.061152125E0,1.498712301E-1,5.097410455E-2,-1.053341292E-2
2.156143125E0,-2.245759964E-2,-2.846045792E-2,2.652624808E-2
2.251133125E0,1.521213353E-1,6.725626532E-3,-1.144043263E-2
2.346115125E0,9.019547701E-2,7.051320374E-2,-5.880239885E-3
2.441083125E0,1.389030367E-1,8.575091511E-2,1.581095718E-2
2.536074125E0,-1.403752118E-1,-7.104320824E-2,2.342539839E-2
2.631054125E0,-4.802859575E-2,-6.314761192E-2,3.703172505E-2
2.726008125E0,-2.263870277E-2,-2.286664909E-3,2.423624694E-2
2.821013125E0,-2.045384347E-1,6.049223617E-2,1.469202191E-1
2.915993125E0,-5.352790952E-1,-1.469099224E-1,9.034225345E-2
3.010974125E0,3.446737230E-1,-4.145630449E-2,-1.803249866E-2
